topic_uz,topic_ru,word_uz,word_ru
Alifbo,Алфавит,A,А
Alifbo,Алфавит,B,Б
Alifbo,Алфавит,Ch,Ч
Alifbo,Алфавит,D,Д
Alifbo,Алфавит,E,Е
Alifbo,Алфавит,F,Ф
Alifbo,Алфавит,G,Г
Alifbo,Алфавит,G',Ғ
Alifbo,Алфавит,H,Х
Alifbo,Алфавит,I,И
Alifbo,Алфавит,J,Ж
Alifbo,Алфавит,K,К
Alifbo,Алфавит,L,Л
Alifbo,Алфавит,M,М
Alifbo,Алфавит,N,Н
Alifbo,Алфавит,Ng,Нг
Alifbo,Алфавит,O,О
Alifbo,Алфавит,O',Ў
Alifbo,Алфавит,P,П
Alifbo,Алфавит,Q,Қ
Alifbo,Алфавит,R,Р
Alifbo,Алфавит,S,С
Alifbo,Алфавит,Sh,Ш
Alifbo,Алфавит,T,Т
Alifbo,Алфавит,U,У
Alifbo,Алфавит,V,В
Alifbo,Алфавит,X,Х
Alifbo,Алфавит,Y,Й
Alifbo,Алфавит,Z,З
Bozor va bozorlik,Рынок и торговля,Aksiya,Акция
Bozor va bozorlik,Рынок и торговля,Arava,Тележка
Bozor va bozorlik,Рынок и торговля,Aravakash,Тележщик
Bozor va bozorlik,Рынок и торговля,Arzon,Дешёвый
Bozor va bozorlik,Рынок и торговля,Assortiment,Ассортимент
Bozor va bozorlik,Рынок и торговля,Avtomobil bozori,Авторынок
Bozor va bozorlik,Рынок и торговля,Baho,Цена
Bozor va bozorlik,Рынок и торговля,Baholash,Оценка
Bozor va bozorlik,Рынок и торговля,Baliq bozori,Рыбный рынок
Bozor va bozorlik,Рынок и торговля,Bojxona,Таможня
Bozor va bozorlik,Рынок и торговля,Bozor,Рынок / базар
Bozor va bozorlik,Рынок и торговля,Bozor kursi,Рыночный курс
Bozor va bozorlik,Рынок и торговля,Brend,Бренд
Bozor va bozorlik,Рынок и торговля,Chakana savdo,Розничная торговля
Bozor va bozorlik,Рынок и торговля,Chegirma,Скидка
Bozor va bozorlik,Рынок и торговля,Chorsu,Чорсу (крытый рынок)
Bozor va bozorlik,Рынок и торговля,Chorva bozori(hayvon bozor),Скотный рынок
Bozor va bozorlik,Рынок и торговля,Daromad,Доход
Bozor va bozorlik,Рынок и торговля,Dehqon bozori,Дехканский рынок
Bozor va bozorlik,Рынок и торговля,Doimiy mijoz,Постоянный клиент
Bozor va bozorlik,Рынок и торговля,Dokon,Магазин
Bozor va bozorlik,Рынок и торговля,Don mahsulotlari,Зерновые продукты
Bozor va bozorlik,Рынок и торговля,Ehtiyot qismlar,Запасные части
Bozor va bozorlik,Рынок и торговля,Eksport,Экспорт
Bozor va bozorlik,Рынок и торговля,Elektron savdo,Электронная торговля
Bozor va bozorlik,Рынок и торговля,Eski buyum bozori,Рынок подержанных товаров
Bozor va bozorlik,Рынок и торговля,Farrosh,Дворник / уборщик
Bozor va bozorlik,Рынок и торговля,Foyda,Прибыль
Bozor va bozorlik,Рынок и торговля,Gilam,Ковёр
Bozor va bozorlik,Рынок и торговля,Gosht,Мясо
Bozor va bozorlik,Рынок и торговля,Gul bozori,Цветочный рынок
Bozor va bozorlik,Рынок и торговля,Hamyon,Кошелёк
Bozor va bozorlik,Рынок и торговля,Hisob,Счёт
Bozor va bozorlik,Рынок и торговля,Hisob-kitob qilmoq,Рассчитаться
Bozor va bozorlik,Рынок и торговля,Hunarmand,Ремесленник
Bozor va bozorlik,Рынок и торговля,Ichimliklar,Напитки
Bozor va bozorlik,Рынок и торговля,Idish-tovoq,Посуда
Bozor va bozorlik,Рынок и торговля,Ijara,Аренда
Bozor va bozorlik,Рынок и торговля,Import,Импорт
Bozor va bozorlik,Рынок и торговля,Ipak mato,Шёлковая ткань
Bozor va bozorlik,Рынок и торговля,Ishlab chiqaruvchi,Производитель
Bozor va bozorlik,Рынок и торговля,Istemol,Потребление
Bozor va bozorlik,Рынок и торговля,Jarayon,Процесс
Bozor va bozorlik,Рынок и торговля,Javdar,Рожь
Bozor va bozorlik,Рынок и торговля,Jomadon,Чемодан
Bozor va bozorlik,Рынок и торговля,Kalish,Галоши
Bozor va bozorlik,Рынок и торговля,Kartadan otkazma,Перевод с карты
Bozor va bozorlik,Рынок и торговля,Kassir,Кассир
Bozor va bozorlik,Рынок и торговля,Kitob bozori,Книжный рынок
Bozor va bozorlik,Рынок и торговля,Kiyim bozori,Рынок одежды
Bozor va bozorlik,Рынок и торговля,Kiyim-kechak,Одежда
Bozor va bozorlik,Рынок и торговля,Kokat,Зелень
Bozor va bozorlik,Рынок и торговля,Konserva,Консервы
Bozor va bozorlik,Рынок и торговля,Mahsulot,Продукт / товар
Bozor va bozorlik,Рынок и торговля,Meva,Фрукт
Bozor va bozorlik,Рынок и торговля,Mijoz,Клиент
Bozor va bozorlik,Рынок и торговля,Milliy mahsulot,Национальный продукт
Bozor va bozorlik,Рынок и торговля,Mol,Товар
Bozor va bozorlik,Рынок и торговля,Moyna,Мех
Bozor va bozorlik,Рынок и торговля,Muzlatkich,Холодильник
Bozor va bozorlik,Рынок и торговля,Naqd tolov,Наличная оплата
Bozor va bozorlik,Рынок и торговля,Narx,Цена
Bozor va bozorlik,Рынок и торговля,Narx-navoni sorash,Торговаться
Bozor va bozorlik,Рынок и торговля,Narxni tushurish,Снижение цены
Bozor va bozorlik,Рынок и торговля,Navbat,Очередь
Bozor va bozorlik,Рынок и торговля,Non,Хлеб
Bozor va bozorlik,Рынок и торговля,Novvoy,Пекарь
Bozor va bozorlik,Рынок и торговля,Noxat,Нут
Bozor va bozorlik,Рынок и торговля,Olchov,Измерение
Bozor va bozorlik,Рынок и торговля,Ombor,Склад
Bozor va bozorlik,Рынок и торговля,Orama,Запас
Bozor va bozorlik,Рынок и торговля,Osimlik yogi,Растительное масло
Bozor va bozorlik,Рынок и торговля,Oziq-ovqat,Продукты питания
Bozor va bozorlik,Рынок и торговля,Pishiriq,Выпечка
Bozor va bozorlik,Рынок и торговля,Piyoz,Лук
Bozor va bozorlik,Рынок и торговля,Poliz mahsulotlari,Бахчевые культуры
Bozor va bozorlik,Рынок и торговля,Qand,Сахар
Bozor va bozorlik,Рынок и торговля,Qassob,Мясник
Bozor va bozorlik,Рынок и торговля,Qatiq,Катык (кислое молоко)
Bozor va bozorlik,Рынок и торговля,Qaytim,Сдача
Bozor va bozorlik,Рынок и торговля,Qoy goshti,Баранина
Bozor va bozorlik,Рынок и торговля,Quritilgan meva,Сухофрукты
Bozor va bozorlik,Рынок и торговля,Rasta,Ряд (на базаре)
Bozor va bozorlik,Рынок и торговля,Reklama,Реклама
Bozor va bozorlik,Рынок и торговля,Ruxsatnoma,Разрешение
Bozor va bozorlik,Рынок и торговля,Sabzavot,Овощи
Bozor va bozorlik,Рынок и торговля,Sabzi,Морковь
Bozor va bozorlik,Рынок и торговля,Sanoat mahsulotlari,Промышленные товары
Bozor va bozorlik,Рынок и торговля,Savat,Корзина
Bozor va bozorlik,Рынок и торговля,Savdo,Торговля
Bozor va bozorlik,Рынок и торговля,Savdo markazi,Торговый центр
Bozor va bozorlik,Рынок и торговля,Savdogar,Торговец
Bozor va bozorlik,Рынок и торговля,Savdolashish,Торговаться
Bozor va bozorlik,Рынок и торговля,Shovqin,Шум
Bozor va bozorlik,Рынок и торговля,Sirka,Уксус
Bozor va bozorlik,Рынок и торговля,Som,Сум (валюта)
Bozor va bozorlik,Рынок и торговля,Sotuvchi,Продавец
Bozor va bozorlik,Рынок и торговля,Sut mahsulotlari,Молочные продукты
Bozor va bozorlik,Рынок и торговля,Taklif,Предложение
Bozor va bozorlik,Рынок и торговля,Talab,Спрос
Bozor va bozorlik,Рынок и торговля,Taminotchi,Поставщик
Bozor va bozorlik,Рынок и торговля,Tandir,Тандыр
Bozor va bozorlik,Рынок и торговля,Tarozi,Весы
Bozor va bozorlik,Рынок и торговля,Texnika bozori,Рынок техники
Bozor va bozorlik,Рынок и торговля,Toshbozor,Каменный рынок
Bozor va bozorlik,Рынок и торговля,Ulgurji,Оптовый
Bozor va bozorlik,Рынок и торговля,Un mahsulotlari,Мучные изделия
Bozor va bozorlik,Рынок и торговля,Urug,Семена
Bozor va bozorlik,Рынок и торговля,Usta,Мастер
Bozor va bozorlik,Рынок и торговля,Uy-rozgor buyumlari,Предметы быта
Bozor va bozorlik,Рынок и торговля,Uzum,Виноград
Bozor va bozorlik,Рынок и торговля,Xarajat,Расходы
Bozor va bozorlik,Рынок и торговля,Xaridor,Покупатель
Bozor va bozorlik,Рынок и торговля,Xojalik mollari,Хозяйственные товары
Bozor va bozorlik,Рынок и торговля,Xomashyo,Сырьё
Bozor va bozorlik,Рынок и торговля,Xorijiy mahsulot,Иностранный продукт
Bozor va bozorlik,Рынок и торговля,Yetkazib berish xizmati,Служба доставки
Bozor va bozorlik,Рынок и торговля,Ziravorlar,Специи
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Afrika,Африка
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Albaniya,Албания
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Amerika,Америка
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Angliya,Англия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Avstraliya,Австралия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Avstriya,Австрия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Bolgariya,Болгария
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Bosh vazir,Премьер-министр
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Chegara,Граница
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Chexiya,Чехия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Daniya,Дания
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Davlat,Государство
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Demokratiya,Демократия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Farmon,Указ
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Finlyandiya,Финляндия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Frantsiya,Франция
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Germaniya,Германия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Gollandiya,Голландия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Gretsiya,Греция
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Hindiston,Индия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Hokimiyat,Власть
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Hukumat,Правительство
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Ispaniya,Испания
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Isroil,Израиль
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Italiya,Италия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Kapitalizm,Капитализм
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Koreya,Корея
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Mamlakat,Страна
