topic_uz,topic_ru,word_uz,word_ru,topic_en,word_en
Alifbo,Алфавит,A,А,Alphabet,A
Alifbo,Алфавит,B,Б,Alphabet,B
Alifbo,Алфавит,Ch,Ч,Alphabet,Ch
Alifbo,Алфавит,D,Д,Alphabet,D
Alifbo,Алфавит,E,Е,Alphabet,E
Alifbo,Алфавит,F,Ф,Alphabet,F
Alifbo,Алфавит,G,Г,Alphabet,G
Alifbo,Алфавит,G',Ғ,Alphabet,Gh
Alifbo,Алфавит,H,Х,Alphabet,H
Alifbo,Алфавит,I,И,Alphabet,I
Alifbo,Алфавит,J,Ж,Alphabet,J
Alifbo,Алфавит,K,К,Alphabet,K
Alifbo,Алфавит,L,Л,Alphabet,L
Alifbo,Алфавит,M,М,Alphabet,M
Alifbo,Алфавит,N,Н,Alphabet,N
Alifbo,Алфавит,Ng,Нг,Alphabet,Ng
Alifbo,Алфавит,O,О,Alphabet,O
Alifbo,Алфавит,O',Ў,Alphabet,O'
Alifbo,Алфавит,P,П,Alphabet,P
Alifbo,Алфавит,Q,Қ,Alphabet,Q
Alifbo,Алфавит,R,Р,Alphabet,R
Alifbo,Алфавит,S,С,Alphabet,S
Alifbo,Алфавит,Sh,Ш,Alphabet,Sh
Alifbo,Алфавит,T,Т,Alphabet,T
Alifbo,Алфавит,U,У,Alphabet,U
Alifbo,Алфавит,V,В,Alphabet,V
Alifbo,Алфавит,X,Х,Alphabet,X
Alifbo,Алфавит,Y,Й,Alphabet,Y
Alifbo,Алфавит,Z,З,Alphabet,Z
Bozor va bozorlik,Рынок и торговля,Aksiya,Акция,Market and Trade,Stock / Sale
Bozor va bozorlik,Рынок и торговля,Arava,Тележка,Market and Trade,Cart
Bozor va bozorlik,Рынок и торговля,Aravakash,Тележщик,Market and Trade,Cart pusher
Bozor va bozorlik,Рынок и торговля,Arzon,Дешёвый,Market and Trade,Cheap
Bozor va bozorlik,Рынок и торговля,Assortiment,Ассортимент,Market and Trade,Assortment
Bozor va bozorlik,Рынок и торговля,Avtomobil bozori,Авторынок,Market and Trade,Car market
Bozor va bozorlik,Рынок и торговля,Baho,Цена,Market and Trade,Price / Grade
Bozor va bozorlik,Рынок и торговля,Baholash,Оценка,Market and Trade,Evaluation
Bozor va bozorlik,Рынок и торговля,Baliq bozori,Рыбный рынок,Market and Trade,Fish market
Bozor va bozorlik,Рынок и торговля,Bojxona,Таможня,Market and Trade,Customs
Bozor va bozorlik,Рынок и торговля,Bozor,Рынок / базар,Market and Trade,Market / Bazaar
